Strategy,Return,Risk
Long-Only,0.121811818099249,0.24338919276265267
Long-Only,0.31418166154725186,0.3002108416955064
Long-Only,0.42038021398818093,0.33519875087928996
Long-Only,0.23015559679902528,0.2328616845205066
Long-Only,0.4496059667092402,0.392244219365861
Long-Only,0.14900032760798634,0.23872203298574196
Long-Only,0.40716122866873933,0.3485701566000802
Long-Only,0.5349726246691417,0.4477565094317458
Long-Only,0.15676569119340358,0.2298060769878936
Long-Only,0.3495209067585634,0.29973388565354114
Long-Only,0.7262310603813187,0.6359097841687135
Long-Only,0.7544321642725618,0.6686303404165327
Long-Only,0.4115384935129589,0.36087761732421486
Long-Only,0.1464670351932698,0.213562167606105
Long-Only,0.3995486009045872,0.3216876798801856
Long-Only,0.33243843825736874,0.31653519338969277
Long-Only,0.23653329257381772,0.25579572711595006
Long-Only,0.3322429443211691,0.26909780170597775
Long-Only,0.40167389431553246,0.3195321705073834
Long-Only,0.6286547978518797,0.547716718876119
Long-Only,0.7306191776155745,0.6476865765187789
Long-Only,0.2879647587931422,0.2437481995201373
Long-Only,0.5493625071771543,0.4563177257288128
Long-Only,0.19807744133830274,0.2725539407439888
Long-Only,0.261860010340379,0.2317635795972856
Long-Only,0.49462759060941425,0.4184893312927916
Long-Only,0.5304812900768372,0.4665607922103803
Long-Only,0.10930047079691957,0.2659855708256101
Long-Only,0.3849603003311451,0.3171231505376524
Long-Only,0.41711693040820474,0.33340745263689586
Long-Only,0.4039762293739461,0.3216719126691539
Long-Only,0.48625395084751766,0.4174664911422569
Long-Only,0.20063598385347647,0.2174710880549401
Long-Only,0.30689332075804293,0.2939653737871789
Long-Only,0.2832328788476237,0.2419686100460552
Long-Only,0.20998392305584343,0.22407283897308372
Long-Only,0.2575979652434485,0.2758340772304037
Long-Only,0.2990809214676713,0.2574950014104738
Long-Only,0.490808796005108,0.42492178758636145
Long-Only,0.4041081167643038,0.32302110395269623
Long-Only,0.4912287842091727,0.3973082024956246
Long-Only,0.6945814635644033,0.6054382063827709
Long-Only,0.2942824795879615,0.24623188519542671
Long-Only,0.153521052471766,0.23933984059275387
Long-Only,0.18443297574753562,0.22838174654974372
Long-Only,0.38951972164367227,0.3102678038050192
Long-Only,0.5932370310192517,0.49898655462190666
Long-Only,0.49075186629608575,0.4142040680354077
Long-Only,0.24711672726334147,0.23523526138222192
Long-Only,0.34720280212777926,0.32017685710302013
Long-Only,0.21823094799309462,0.25130229584510466
Long-Only,0.7646499715916599,0.6795774014485425
Long-Only,0.1358397688696533,0.22154599786727608
Long-Only,0.33564977300347765,0.2881027154987296
Long-Only,0.19280665104372263,0.22599445799686033
Long-Only,0.40727156950186794,0.353823989268361
Long-Only,0.20013704062636906,0.21259527392526797
Long-Only,0.13406237529873666,0.22393312173053775
Long-Only,0.28206255677710246,0.24034007188650844
Long-Only,0.6998797889291208,0.617676021456307
Long-Only,0.17060627396043196,0.23846043470601733
Long-Only,0.7077812296038535,0.6263614324730501
Long-Only,0.16842962711634363,0.2090222613043767
Long-Only,0.24134548380971554,0.22657415423187008
Long-Only,0.29088122621821544,0.26431911031404415
Long-Only,0.24309856888218,0.23626361738082005
Long-Only,0.20258441490363843,0.23703042504953606
Long-Only,0.6739039072381554,0.5850644344851057
Long-Only,0.6213095959189257,0.5339916348453457
Long-Only,0.28474170756816897,0.24098233405039962
Long-Only,0.4526934498274851,0.3697355831468988
Long-Only,0.22391681725053575,0.2510562283151153
Long-Only,0.6503104873077666,0.5702828186144936
Long-Only,0.5070174355077445,0.42093955967318003
Long-Only,0.6290005114389058,0.5463248503713752
Long-Only,0.41881730587405974,0.33590207009291745
Long-Only,0.4227911090052577,0.34396893111009647
Long-Only,0.24887209723829185,0.2329112445812441
Long-Only,0.313032711148195,0.3001703398178749
Long-Only,0.5848691417219353,0.49146103608613634
Long-Only,0.542508017775424,0.45758883495980784
Long-Only,0.22518171593881575,0.21902864065930916
Long-Only,0.12674092106981466,0.2243727105370665
Long-Only,0.6186565573669317,0.524485772817228
